"State","Year","Avg ASC-1 State Rate","Median ASC-1 State Rate","Avg ASC-2 State Rate","Median ASC-2 State Rate","Avg ASC-3 State Rate","Median ASC-3 State Rate","Avg ASC-4 State Rate","Median ASC-4 State Rate","Avg ASC-9 State Rate","Median ASC-9 State Rate","Avg ASC-11 State Rate","Median ASC-11 State Rate","ASC-12 Better","ASC-12 No Different","ASC-12 Worse","ASC-12 Too Small","Avg ASC-13 State Rate","Median ASC-13 State Rate","Avg ASC-14 State Rate","Median ASC-14 State Rate","ASC-17 Better","ASC-17 No Different","ASC-17 Worse","ASC-17 Too Small","ASC-18 Better","ASC-18 No Different","ASC-18 Worse","ASC-18 Too Small","ASC-19 Better","ASC-19 No Different","ASC-19 Worse","ASC-19 Too Small","Avg ASC-20 State Rate"
NC,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),91.60
ND,2023,0.01,0.00,0.02,0.00,0.01,0.00,0.03,0.01,94.84,95.87,N/A (5),N/A (5),0,4,0,1,95.67,98.69,0.08,0.00,0,5,0,1,0,0,0,2,0,2,0,9,N/A (5)
ND,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),86.90
NE,2023,0.00,0.00,0.02,0.02,0.00,0.00,0.08,0.07,94.00,98.04,100.00,100.00,0,17,0,3,94.90,99.84,0.18,0.08,0,16,0,7,0,6,0,4,0,15,0,17,N/A (5)
NE,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),90.20
NH,2023,0.00,0.00,0.03,0.02,0.00,0.00,0.09,0.08,89.35,95.13,N/A (5),N/A (5),0,10,0,0,68.20,99.21,0.33,0.21,0,18,0,4,0,2,0,2,0,5,0,17,N/A (5)
NH,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),95.30
NJ,2023,0.00,0.00,0.01,0.00,0.00,0.00,0.07,0.05,67.82,83.33,69.27,100.00,0,86,0,7,92.30,100.00,0.42,0.31,0,71,0,61,1,29,0,14,0,51,0,111,N/A (5)
NJ,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),93.60
NM,2023,0.00,0.00,0.02,0.00,0.00,0.00,0.05,0.03,98.01,100.00,N/A (5),N/A (5),0,5,0,1,99.99,100.00,0.45,0.46,0,4,0,5,0,2,0,1,0,7,0,5,N/A (5)
